,Cloudiness,Country,Date,Humidity,Lat,Lng,MaxTemp,WindSpeed
459,0,RU,2018-10-09 00:41:24,100,45.97,42.7,284.506,4.11
460,20,ID,2018-10-09 00:48:39,100,4.14,96.13,298.706,1.86
461,92,BR,2018-10-09 00:41:25,82,-10.41,-36.43,297.106,4.01
462,0,AU,2018-10-09 00:41:26,21,-20.74,116.85,302.206,4.91
463,92,NO,2018-10-09 00:41:26,100,61.18,7.24,276.656,1.16
464,24,IN,2018-10-09 00:41:26,79,28.17,94.8,286.656,0.76
465,90,CA,2018-10-09 00:00:00,100,50.7,-127.42,283.15,1.0
466,0,ML,2018-10-09 00:00:00,88,12.75,-8.07,296.15,1.06
467,24,KE,2018-10-09 00:41:27,48,1.75,40.07,300.506,6.61
468,0,RU,2018-10-09 00:40:24,92,61.28,108.01,273.806,2.76
469,32,CA,2018-10-09 00:41:28,96,50.56,-96.99,277.206,2.46
470,92,AF,2018-10-09 00:41:28,79,36.86,70.83,266.756,0.31
471,0,ZW,2018-10-09 00:41:29,63,-20.16,28.59,285.406,3.51
472,88,MV,2018-10-09 00:41:29,100,5.1,73.07,300.656,5.01
473,0,KM,2018-10-09 00:48:44,100,-11.38,43.28,297.356,3.41
474,20,US,2018-10-08 23:56:00,58,33.61,-85.83,299.85,2.1
475,0,PH,2018-10-09 00:41:31,96,12.22,125.48,301.006,1.66
476,0,FR,2018-10-09 00:30:00,81,48.32,0.82,284.15,1.0
477,44,CR,2018-10-09 00:00:00,93,10.22,-83.79,294.15,0.66
478,76,SO,2018-10-09 00:41:32,81,7.98,49.82,299.106,8.61
479,90,KZ,2018-10-09 00:00:00,70,42.89,71.39,281.15,5.0
480,92,GB,2018-10-08 23:50:00,87,54.57,-2.89,285.15,11.3
481,0,DE,2018-10-09 00:20:00,87,52.12,9.98,282.15,0.5
482,0,CA,2018-10-09 00:41:34,100,47.48,-55.8,281.356,8.51
483,80,ID,2018-10-09 00:41:34,98,-7.22,107.9,292.906,1.06
484,12,AO,2018-10-09 00:41:35,93,-6.13,12.37,296.256,1.56
485,75,TH,2018-10-09 00:30:00,100,7.0,100.46,298.15,1.51
486,0,ES,2018-10-09 00:30:00,93,42.62,-6.42,276.15,1.5
487,80,CA,2018-10-09 00:48:49,98,66.15,-65.72,270.806,1.66
488,0,RU,2018-10-09 00:39:08,83,66.42,112.4,271.056,1.81
489,75,US,2018-10-09 00:15:00,96,30.67,-96.37,297.35,1.5
490,0,ID,2018-10-09 00:41:37,85,-8.45,118.73,299.306,1.66
491,12,FR,2018-10-09 00:30:00,100,44.83,-0.61,284.15,0.5
492,90,CA,2018-10-09 00:00:00,80,50.03,-66.88,277.15,2.6
493,75,MY,2018-10-09 00:00:00,74,6.35,116.43,302.15,2.6
494,20,BR,2018-10-09 00:41:38,56,-3.46,-42.37,302.706,5.46
495,92,GH,2018-10-09 00:47:15,100,4.87,-2.24,298.606,5.36
496,20,US,2018-10-08 23:58:00,69,31.22,-85.39,299.85,5.1
497,92,RU,2018-10-09 00:41:39,88,65.73,150.89,270.606,1.46
498,56,CN,2018-10-09 00:41:40,92,29.96,122.3,296.406,1.21
499,92,SL,2018-10-09 00:41:40,100,7.99,-10.85,295.656,1.86
500,36,RU,2018-10-09 00:41:41,70,58.18,94.69,278.606,3.41
501,75,BR,2018-10-09 00:00:00,78,-14.79,-39.05,299.15,4.6
502,20,AU,2018-10-09 00:41:42,96,-25.3,152.85,295.206,0.96
503,24,CA,2018-10-09 00:41:42,85,47.65,-67.35,273.906,1.66
504,75,MX,2018-10-08 23:46:00,74,16.38,-93.6,300.15,2.6
505,44,NO,2018-10-09 00:20:00,87,59.0,10.03,286.15,6.7
506,20,MX,2018-10-08 23:47:00,39,22.89,-109.91,302.15,5.1
507,88,RU,2018-10-09 00:41:43,63,46.45,135.83,278.606,1.86
508,0,BR,2018-10-09 00:48:57,75,-2.92,-39.92,299.056,7.61
509,80,GH,2018-10-09 00:41:44,96,8.05,-1.73,294.756,3.86
510,92,NG,2018-10-09 00:41:45,91,4.92,6.26,298.106,3.41
511,0,TR,2018-10-09 00:20:00,82,38.67,26.76,290.15,2.1
512,90,CA,2018-10-09 00:00:00,100,48.41,-89.26,279.15,2.6
513,8,PL,2018-10-09 00:41:18,87,53.63,21.81,277.006,2.66
514,1,US,2018-10-08 23:56:00,3,35.62,-117.67,298.15,2.6
515,0,KZ,2018-10-09 00:41:47,86,45.25,77.98,276.106,0.56
516,90,CA,2018-10-09 00:00:00,100,45.98,-81.93,287.15,4.1
517,40,AU,2018-10-09 00:00:00,54,-23.13,150.74,299.15,4.1
518,76,CI,2018-10-09 00:41:48,99,6.81,-5.27,295.006,1.31
519,8,RU,2018-10-09 00:41:48,62,51.68,102.13,261.256,0.81
